ID,Sentence
1,ekonomi
2,girisi
3,guncelleme
4,mit
5,silahli
6,savastan
7,gunune
8,serbes:
9,muslum
10,et:
11,lacivertli
12,kulturunun
13,olmayabilir
14,okunan
15,gelismeyi
16,acimiyor
17,orduspor
18,mor
19,eklenince
20,buralara
21,tarhan
22,cevaplayan
23,girnataci
24,caglayan
25,turunun
26,kisa
27,kasabanin
28,bakanlar
29,buyurmus
30,times
31,antalya
32,kardeslik
33,sahaya
34,standinda
35,editorun
36,dokunusla
37,standindaydi
38,tuna
39,iskender
40,hdk
41,sesle
42,isim
43,halid
44,yayalastirma
45,ihh
46,soyuz
47,zafer
48,grand
49,akdeniz
50,kostumu
51,ingiliz
52,oksijenden
53,siz
54,sitenizden
55,ilanlari
56,kodu
57,olma
58,soyadiniz:secmis
59,arabanin
60,gireceginiz
61,kendisiyle
62,ozellestirme
63,durumu
64,asagida
65,gidin
66,eklenin
67,avukatlariyla
68,universiteli
69,surecin
70,evden
71,husniye
72,ayazaga
73,catismalarda
74,askli
75,buyukanit
76,kopeklerine
77,36
78,surdurulebilir
79,siraladigi
80,meydan
81,unal
82,insaatlarda
83,sonlandiran
84,bakanlik
85,dustugunu
86,viraja
87,aralikta
88,kit
89,(thy)
90,fatih
91,barca
92,yilbasinda
93,islak
94,toplulugu
95,rotayi
96,erken
97,duruydu
98,misir
99,pavey:
100,olagan
