ID,Sentence
1,ekonomi
2,girişi
3,güncelleme
4,mit
5,silahlı
6,savaştan
7,gününe
8,serbes:
9,müslüm
10,et:
11,lacivertli
12,kültürünün
13,olmayabilir
14,okunan
15,gelişmeyi
16,acımıyor
17,orduspor
18,mor
19,eklenince
20,buralara
21,tarhan
22,cevaplayan
23,gırnatacı
24,çağlayan
25,türünün
26,kısa
27,kasabanın
28,bakanlar
29,büyürmüş
30,times
31,antalya
32,kardeşlik
33,sahaya
34,standında
35,editorun
36,dokunuşla
37,standındaydı
38,tuna
39,iskender
40,hdk
41,sesle
42,işim
43,halid
44,yayalaştırma
45,ihh
46,soyuz
47,zafer
48,grand
49,akdeniz
50,kostümü
51,ingiliz
52,oksijenden
53,siz
54,sitenizden
55,ilanları
56,kodu
57,olma
58,soyadınız:seçmiş
59,arabanın
60,gireceğiniz
61,kendisiyle
62,özelleştirme
63,durumu
64,aşağıda
65,gidin
66,eklenin
67,avukatlarıyla
68,üniversiteli
69,sürecin
70,evden
71,hüsniye
72,ayazağa
73,çatışmalarda
74,aşklı
75,büyükanıt
76,köpeklerine
77,36
78,sürdürülebilir
79,sıraladığı
80,meydan
81,ünal
82,inşaatlarda
83,sonlandıran
84,bakanlık
85,düştüğünü
86,viraja
87,aralıkta
88,kit
89,(thy)
90,fatih
91,barça
92,yılbaşında
93,ıslak
94,topluluğu
95,rotayı
96,erken
97,duruydu
98,mısır
99,pavey:
100,olağan
